DATE,Delivery Team,Not in LR,Present in LR
2026-04-14,39,128,1864
2026-04-15,39,129,1863
2026-04-16,39,131,1861
2026-04-17,39,133,1854
2026-04-21,39,135,1834
2026-04-22,39,136,1841
2026-04-23,39,139,1842
