DATE,11020N/P05/B02/SL01,20489/P05/B02/SL01,20489/P05/B02/SL02,20489/P05/B02/SL03,20489/P05/B02/SL04,20489/P05/B02/SL05,207455_USD/SL01,207455_USD/SL03,25708_USD/SL01,25708_USD/SL02,25708_USD/SL03,25708_USD/SL04,25708_USD/SL09,28028020/P05/B/SL09,28028020/P05/B/SL12,28030895/P03/B/SL01,28030895/P03/B/SL02,28030895/P03/B/SL03,28030895/P03/B/SL04,34257/P05/B02/SL02,34257/P05/B02/SL03,34257/P05/B02/SL04,34257/P05/B02/SL06,34885/P05/B28/SL01,45323/P05/B02/SL04,45323/P05/B02/SL05,45323/P05/B02/SL27,45323/P05/B29/SL18,45323/P12/B02/SL07,45323/P12/B02/SL09,45323/P12/B02/SL10,45323/P12/B02/SL11,45323/P13/B29/SL23,56495/P03/B02/SL01,58449/P05/B02/SL01,58449/P05/B02/SL03,58449/P05/B02/SL04,58504/P05/B07/SL09,59091/P05/B02/SL01,59091/P05/B02/SL02,59091/P05/B02/SL03,59091/P05/B02/SL04,59091/P05/B02/SL05,59091/P05/B02/SL10,60782/P03/B02/SL02,62516/P05/B02/SL02,63277/P04/B07/SL04,63277/P04/B07/SL05,63277/P04/B07/SL06,63277/P05/B02/SL02,63277/P05/B02/SL03,63881/P05/B02/SL02,63881/P05/B02/SL03,63881/P05/B02/SL04,66232/P05/B02/SL01,66232/P05/B02/SL02,73623/P05/B47/SL01,73623/P12/B47/SL02,73623/P13/B47/SL03,77064/P05/B02/SL01,80260/P03/B99/SL01,80260/P03/B99/SL02,82198/DG/P05/BSL01,82198/DG/P05/BSL02,82198/DG/P05/BSL03,82198/DG/P05/BSL04,82198/DG/P05/BSL05,86016/P05/B07/SL01,86016/P05/B07/SL02,87231N/P03/B02/SL01,87231N/P03/B02/SL02,88715N/DG/P05/BSL02,88715N/DG/P12/BSL01,88715N/P12/B02/SL10,88715N/P12/B02/SL11,88715N/P13/B02/SL07,88715N/P13/B02/SL09,96551N/P05/B02/SL01,96551N/P05/B02/SL02,96551N/P05/B02/SL03,96551N/P05/B02/SL04,96551N/P05/B02/SL05,96861N/P05/B02/SL01,98613N/P05/B02/SL01,99199N/P03/B02/SL01,99199N/P05/B02/SL02,BAN-67/SL05,BAN-86/SL02,BAN-86/SL03,BAN-86/SL04,BAN-86/SL05,BPS,Business Process Services,ENGG - WIPRO ENGINEERING,TS - CISS - CIS,TS - CISS - CRS,TS - DATA ANALYTICS & AI,TS - ENTERPRISE APPLICATIONS,TS - Industry Cloud & Digital,TS - TTMS,Technology Services,WBS120250212173302,WBS120250523183342,WBS120250623155009,WBS120250623155232,WBS120250925134024,WBS120251010160854,WBS120251126172306,WBS120251126172559,WBS120251127192427,WBS120251204214106,WBS120251204214158,WBS120251204214319,WBS120260105133947,WBS120260306154033,WBS120260309185350,WBS120260312175938,WBS120260317210125,WC-CONSULTING,WIPRO CONSULTING,Wipro Engineering
2026-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,11
2026-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,11,10,4,390,185,1264,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0
2026-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,11,10,4,390,185,1264,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0
2026-04-17,6,7,1,54,1,3,1,10,1,0,0,0,0,0,0,51,9,4,1,7,5,4,218,16,1,9,1,11,1,25,6,167,1,3,1,5,101,349,3,1,19,66,15,3,8,6,2,1,13,1,3,2,7,1,3,1,9,17,5,45,2,1,65,224,3,4,10,6,5,4,3,80,5,13,51,31,3,13,1,1,2,3,69,16,2,0,0,32,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,17,5,3,1,6,1,1,7,10,1,2,1,4,1,1,0,0,0
2026-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,9,4,388,183,1260,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0
2026-04-22,6,1,0,1,0,2,1,10,3,1,12,1,1,4,38,50,9,4,1,6,5,4,216,16,1,9,1,11,1,25,6,167,1,3,1,5,101,348,3,1,19,64,15,3,7,6,2,1,13,1,3,2,7,1,3,1,9,17,5,45,2,2,66,225,2,4,10,6,5,4,2,76,5,13,51,32,3,13,1,1,2,3,69,16,0,3,3,32,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,16,3,3,1,6,1,1,7,10,1,2,1,6,1,0,0,0,0
2026-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,9,4,388,186,1258,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0
